rank,id,tick_net,m1_net,disc_m1_minus_tick,disc_pct,tick_dd_pct,m1_dd_pct,m1_net_nobonus,m1_edge_fixed,m1_closed_lots,m1_winrate,tick_nofill,slm,entries,slgap,maxhold,delay,frac,lock2,final
124,c080,-60.85,23502.246666666426,23563.1,38723.2,33.34,20.123242671952507,23148.09666666654,2144.859999999906,118.05,65.14285714285715,90,2.5,7,0.5,240,24,0.5,false,TP3
125,c002,-3736.75,30761.569999999163,34498.32,923.2,36.82,17.425961241749537,30274.48999999918,1716.239999999896,162.35999999999984,62.2093023255814,90,1.9,6,0.5,300,12,0.5,false,TP3
126,c037,-5122.44,36205.52000000216,41327.96,806.8,42.03,16.79107758273697,35631.140000002095,1680.4100000000035,191.45999999999998,61.49425287356321,90,1.7,6,0.5,300,12,0.25,false,TP3
127,c139,-5122.44,40635.16000000214,45757.6,893.3,42.03,16.964896048750656,40032.730000002215,1880.8400000000038,200.81000000000006,61.49425287356321,90,1.7,6,0.5,300,24,0.25,false,TP3
128,c019,-5122.44,47500.270000002216,52622.71,1027.3,42.03,12.751213753623128,46869.52000000226,2022.7299999999886,210.25000000000034,62.643678160919535,90,1.7,6,0.5,300,24,0.75,true,TP3
129,c036,-5122.44,13322.480000002222,18444.92,360.1,42.03,19.127549902014483,12825.35000000217,723.3800000000119,165.70999999999992,61.49425287356321,90,1.7,6,0.5,300,0,0.75,false,TP3
130,c121,-5150.73,7870.100000000872,13020.83,252.8,37.28,20.624422845095225,7498.52000000099,551.900000000096,123.86000000000018,63.58381502890174,90,2.1,6,0.5,300,0,0.25,false,TP3
131,c022,-5150.73,24574.820000000807,29725.55,577.1,37.28,19.021510196387638,24154.700000000816,1546.720000000074,140.03999999999982,63.005780346820806,90,2.1,6,0.5,300,12,0.5,false,TP3
132,c077,-5330.17,20241.788571427547,25571.96,479.8,34.47,19.72081995992991,19876.628571427515,1964.0057142854712,121.71999999999979,64.73988439306359,90,2.3,8,0.5,300,12,0.5,false,TP3
133,c104,-5454.79,41452.076666665394,46906.87,859.9,39.43,13.933214524704724,40919.4866666655,2408.3866666665926,177.5300000000001,63.58381502890174,90,1.9,7,0.5,300,24,0.5,true,TP3
134,c048,-5454.79,35215.21333333223,40670.0,745.6,39.43,17.213424519414097,34699.87333333224,2205.976666666582,171.78,62.42774566473989,90,1.9,7,0.5,300,24,0.75,false,TP3
135,c140,-5454.79,11378.246666666048,16833.04,308.6,39.43,19.35356393077723,10952.546666666045,830.2599999999438,141.90000000000003,62.42774566473989,90,1.9,7,0.5,300,0,0.25,false,TP3
